titre,date,genre,duree,realisateur,distributeur,acteurs,nationalites,langue_d_origine,type_film,annee_production,nombre_article,description,film_id_allocine,image,boxoffice
Upgrade,2018-10-03,Science fiction_Thriller,100,Leigh Whannell,Apollo Films,"Logan Marshall-Green,Betty Gabriel,Harrison Gilbertson",Australie,Anglais,Long-métrage,2018,14,"Après la mort de son épouse lors d'une violente agression qui l'a laissé paralysé, Grey Trace est approché par un inventeur milliardaire qui propose de lui administrer un remède expérimental qui va ""upgrader"" son corps et ses facultés. Désormais doté d'un implant fonctionnant à l'intelligence artificielle, Grey voit ses capacités physiques décuplées et se lance dans une mission vengeresse, afin de faire payer ceux qui ont tué sa femme.",252519,https://fr.web.img2.acsta.net/c_310_420/pictures/18/09/06/15/06/2427423.jpg,58943
L'Amour flou,2018-10-10,Comédie,97,Romane Bohringer,Rezo Films,"Romane Bohringer,Philippe Rebbot,Rose Rebbot-Bohringer",France,Français,Long-métrage,2018,22,"Romane et Philippe se séparent. Après 10 ans de vie commune,deux enfants et un chien,ils ne s’aiment plus. Enfin… ils ne sont plus amoureux. Mais ils s’aiment,quand même. Beaucoup.Trop pour se séparer vraiment? Bref…C’est flou. Alors,sous le regard circonspect de leur entourage,ils accouchent ensemble d’un «sépartement »:deux appartements séparés,communiquant par…la chambre de leurs enfants! Peut on se séparer ensemble? Peut-on refaire sa vie,sans la défaire?",264969,https://fr.web.img3.acsta.net/c_310_420/pictures/18/07/30/17/35/1004171.jpg,57549
Girl,2018-10-10,Drame,105,Lukas Dhont,Diaphana Distribution,"Victor Polster,Arieh Worthalter,Oliver Bodart",Belgique,Français,Long-métrage,2018,34,"Lara, 15 ans, rêve de devenir danseuse étoile. Avec le soutien de son père, elle se lance à corps perdu dans cette quête d’absolu. Mais ce corps ne se plie pas si facilement à la discipline que lui impose Lara, car celle-ci est née garçon.",263852,https://fr.web.img4.acsta.net/c_310_420/pictures/18/06/04/16/54/2648625.jpg,116438
Venom,2018-10-10,Action_Science fiction,112,Ruben Fleischer,Sony Pictures Releasing France,"Tom Hardy,Michelle Williams,Riz Ahmed",U.S.A.,Anglais,Long-métrage,2018,21,"Possédé par un symbiote qui agit de manière autonome, le journaliste Eddie Brock devient le protecteur létal Venom.",138473,https://fr.web.img6.acsta.net/c_310_420/pictures/18/09/20/10/41/4338768.jpg,941871
Domingo,2018-10-10,Comédie_Drame,95,Fellipe Barbosa,Condor Distribution,"Itala Nandi,Camila Morgado,Augusto Madeira",Brésil,Portugais,Long-métrage,2018,13,"Au sud du Brésil, Laura, matriarche d’une famille de la haute bourgeoisie, retrouve les siens dans leur maison de campagne, pour un repas dominical. Mais en ce jour d’investiture du Président Lula, rien ne se passe comme prévu. Comme en écho à ce séisme politique, tout semble se dérégler dans la propriété : les domestiques renâclent, la maison se délabre à vue d’oeil, et les névroses et secrets de trois générations menacent de tout emporter.",261041,https://fr.web.img2.acsta.net/c_310_420/pictures/18/08/31/14/24/5870110.jpg,3477
La Particule humaine,2018-10-10,Drame_Science fiction,128,Semih Kaplanoğlu,Dulac Distribution,"Jean-Marc Barr,Ermin Bravo,Grigoriy Dobrygin",Turquie,Anglais,Long-métrage,2017,11,"Dans un futur proche et incertain, un brusque changement climatique a mené la vie sur Terre vers son extinction. Dans ce monde aux frontières redessinées, les migrants sont parqués dans des camps en attendant de pouvoir intégrer les villes protégées par des boucliers magnétiques. Le chemin du Pr. Erol Erin, généticien spécialiste des semences, va croiser dans la région des ""Terres Mortes"", celui du Pr Cemil Akman, qui a dû quitter la ville à cause de ses recherches. Le voyage qu'ils vont entreprendre à la recherche des graines qu'ils pourront faire germer, va bouleverser tout ce qu'Erin a connu jusqu'ici....",230852,https://fr.web.img2.acsta.net/c_310_420/pictures/18/09/06/11/11/0652049.jpg,974
Dilili à Paris,2018-10-10,Animation_Famille,95,Michel Ocelot,Mars Films,"Enzo Ratsito,Natalie Dessay,Elisabeth Duda",France,Français,Long-métrage,2018,114,"Dans le Paris de la Belle Époque, en compagnie d’un jeune livreur en triporteur, la petite kanake Dilili mène une enquête sur des enlèvements mystérieux de fillettes. Elle rencontre des hommes et des femmes extraordinaires, qui lui donnent des indices. Elle découvre sous terre des méchants très particuliers, les Mâles-Maîtres. Les deux amis lutteront avec entrain pour une vie active dans la lumière et le vivre-ensemble…",243835,https://fr.web.img5.acsta.net/c_310_420/pictures/18/10/17/09/26/4362052.jpg,134356
Johnny English contre-attaque,2018-10-10,Comédie_Espionnage,89,David Kerr,Universal Pictures International France,"Rowan Atkinson,Olga Kurylenko,Ben Miller",Grande-Bretagne,Anglais,Long-métrage,2018,7,"Cette nouvelle aventure démarre lorsqu’une cyber-attaque révèle l’identité de tous les agents britanniques sous couverture. Johnny English devient alors le dernier espoir des services secrets. Rappelé de sa retraite, il plonge tête la première dans sa mission : découvrir qui est le génie du piratage qui se cache derrière ces attaques. Avec ses méthodes obsolètes Johnny English doit relever les défis de la technologie moderne pour assurer la réussite de sa mission.",256426,https://fr.web.img2.acsta.net/c_310_420/pictures/18/09/07/14/59/2973117.png,121585
Tazzeka,2018-10-10,Comédie dramatique,95,Jean-Philippe Gaud,Les Films des Deux Rives,"Madi Belem,Ouidad Elma,Olivier Sitruk",France,Français,Long-métrage,2017,8,"Élevé par sa grand-mère qui lui transmet le goût et les secrets de la cuisine traditionnelle, Elias grandit au cœur d’un village marocain, Tazzeka. Quelques années plus tard, la rencontre avec un grand chef cuisinier parisien et l’irruption de la belle Salma dans son quotidien vont bouleverser sa vie et le décider à partir pour la France… À Paris, Elias fait l’expérience de la pauvreté et du travail précaire des immigrés clandestins. Il découvre aussi les saveurs de l’amitié grâce à Souleymane, qui saura raviver sa passion pour la cuisine.",264808,https://fr.web.img2.acsta.net/c_310_420/pictures/18/09/11/11/02/2679891.jpg,259
Le Jeu,2018-10-17,Comédie_Drame,90,Fred Cavayé,Mars Films,"Bérénice Bejo,Suzanne Clément,Stéphane De Groodt",France,Français,Long-métrage,2017,17,"Le temps d’un diner, des couples d’amis décident de jouer à un « jeu » : chacun doit poser son téléphone portable au milieu de la table et chaque SMS, appel téléphonique, mail, message Facebook, etc. devra être partagé avec les autres. Il ne faudra pas attendre bien longtemps pour que ce « jeu » se transforme en cauchemar.",259649,https://fr.web.img2.acsta.net/c_310_420/pictures/19/01/25/08/07/0513738.jpg,429132
Yéti & Compagnie,2018-10-17,Animation_Aventure,97,Jason A. Reisig,Warner Bros. France,"Channing Tatum,Julien Doré,James Corden",U.S.A.,Anglais,Long-métrage,2018,95,"Vivant dans un petit village reculé, un jeune et intrépide yéti découvre une créature étrange qui, pensait-il jusque-là, n'existait que dans les contes : un humain ! Si c'est pour lui l'occasion de connaître la célébrité – et de conquérir la fille de ses rêves –, cette nouvelle sème le trouble dans la communauté yéti. Car qui sait les surprises que leur réserve encore le vaste monde ?",230803,https://fr.web.img4.acsta.net/c_310_420/pictures/18/07/24/10/49/2195759.jpg,406484
The House That Jack Built,2018-10-17,Drame_Thriller,155,Lars von Trier,Les Films du Losange,"Matt Dillon,Bruno Ganz,Uma Thurman",Danemark,Anglais,Long-métrage,2018,33,"États-Unis, années 70.",245109,https://fr.web.img5.acsta.net/c_310_420/pictures/23/06/12/18/25/2129214.jpg,24387
Je suis resté dans les bois,2018-10-17,Comédie dramatique,83,Vincent Solheid,Cinéma Saint-André des Arts,"Michaël Bier,Vincent Solheid,Erika Sainte",Belgique,Français,Long-métrage,2017,1,"Artiste plasticien, Vincent prépare sa nouvelle exposition centrée sur l'évocation de moments peu glorieux de son passé. Il est entouré par une petite équipe dont font partie Erika, sa compagne et Michaël, un ami réalisateur. Au fur et à mesure que Vincent se replonge naïvement et sans pudeur dans son passé, l'image que ses collaborateurs ont de lui commence à se ternir. Pire que ça, c'est la vision qu'il a de lui-même qui se transforme petit à petit.",265641,https://fr.web.img5.acsta.net/c_310_420/pictures/18/06/21/16/49/5787112.jpg,23
The Predator,2018-10-17,Action_Science fiction,107,Shane Black,Twentieth Century Fox France,"Boyd Holbrook,Trevante Rhodes,Olivia Munn",U.S.A.,Anglais,Long-métrage,2018,23,"Les pires prédateurs de l'univers sont maintenant plus forts et plus intelligents que jamais, ils se sont génétiquement perfectionnés grâce à l'ADN d'autres espèces. Alors qu’un jeune garçon devient accidentellement leur cible, seul un équipage hétéroclite d'anciens soldats et un professeur de science contestataire peuvent empêcher l’extinction de la race humaine.",229857,https://fr.web.img5.acsta.net/c_310_420/pictures/18/08/22/15/28/2875808.jpg,191048
First Man - le premier homme sur la Lune,2018-10-17,Biopic_Drame,142,Damien Chazelle,Universal Pictures International France,"Ryan Gosling,Claire Foy,Jason Clarke",U.S.A.,Anglais,Long-métrage,2018,38,"Pilote jugé « un peu distrait » par ses supérieurs en 1961, Neil Armstrong sera, le 21 juillet 1969, le premier homme à marcher sur la lune. Durant huit ans, il subit un entraînement de plus en plus difficile, assumant courageusement tous les risques d’un voyage vers l’inconnu total. Meurtri par des épreuves personnelles qui laissent des traces indélébiles, Armstrong tente d’être un mari aimant auprès d’une femme qui l’avait épousé en espérant une vie normale.",135374,https://fr.web.img4.acsta.net/c_310_420/pictures/18/09/12/11/16/3103616.jpg,318668
The Mule,2018-10-19,Comédie_Policier,103,Angus Sampson,e-cinema.com,"Hugo Weaving,Angus Sampson,Leigh Whannell",Australie,Anglais,Long-métrage,2014,6,"Septembre 1983. Ray Jenkins accepte naïvement de transporter dans son estomac des stupéfiants de Bangkok à Melbourne, au risque de sa vie. Arrivé à l’aéroport, il est arrêté par la police fédérale australienne. Seul et effrayé, Ray prend la décision de défier son corps et de retenir les preuves…littéralement. Il devient alors une véritable bombe à retardement entraînant avec lui policiers, criminels et proches parents dans son impossible échappée.",229904,https://fr.web.img4.acsta.net/c_310_420/pictures/18/10/01/09/07/3427898.jpg,9500985
Invasion,2018-10-24,Policier_Thriller,100,Shahram Mokri,Damned Distribution,"Abed Abest,Elaheh Bakhshi,Babak Karimi",Iran,Perse,Long-métrage,2018,5,"Les ténèbres règnent depuis trois ans. Une partie de la Terre est privée de soleil.  Une barrière a été dressée contre l’immigration illégale depuis les ténèbres. De nombreuses maladies sont apparues.  L’une d’entre elles alerte les autorités. Accusé du meurtre de son ami Saman, Ali est conduit sur le lieu du crime pour la reconstitution.",262044,https://fr.web.img2.acsta.net/c_310_420/pictures/18/08/29/19/07/3264606.jpg,602
Dakini,2018-10-24,Aventure,118,Dechen Roder,Jupiter Films,"Jamyang Jamtsho Wangchuk,Sonam Tashi Choden,Chencho Dorji",Bhoutan,Autre,Long-métrage,2018,6,"Le détective Kinley enquête sur la disparition d'une nonne bouddhiste. Il forme une alliance houleuse avec la principale suspecte, Choden, une femme séduisante considérée par les villageois comme une “démone"".",252681,https://fr.web.img6.acsta.net/c_310_420/pictures/18/10/11/14/46/2765953.jpg,703
Bamse au pays des voleurs,2018-10-24,Animation_Famille,59,Christian Ryltenius,Malavida Films,"Peter Haber,Morgan Alling,Steve Kratz",Suède,Suédois,Long-métrage,2014,17,"Bamse est l'ourson le plus fort du monde grâce au ""miel du tonnerre"" concocté par sa grand-mère. Il lui procure une force incroyable ! Il est aussi très gentil : il protège et aide tous ceux qui sont en danger ou malheureux, et tout le monde l'aime dans son village. Mais quelqu'un de mystérieux lui en veut et kidnappe sa grand-mère. Bamse va devoir braver les dangers de la forêt des Trolls pour la délivrer des griffes des méchants... Heureusement qu'il est accompagné par la petite Marianne qui n'a pas froid aux yeux !",232881,https://fr.web.img3.acsta.net/c_310_420/pictures/18/06/18/11/19/2282089.jpg,1722
Chair de poule 2 : Les Fantômes d'Halloween,2018-10-24,Comédie,90,Ari Sandel,Sony Pictures Releasing France,"Jeremy Ray Taylor,Madison Iseman,Caleel Harris",U.S.A.,Anglais,Long-métrage,2018,7,"Sonny Quinn et son meilleur ami au collège, Sam, se font un peu d’argent en récupérant les objets dont les gens ne veulent plus. C’est ainsi qu’ils vont découvrir Slappy, une étrange marionnette de ventriloque tout droit sortie d’un livre",247007,https://fr.web.img5.acsta.net/c_310_420/pictures/18/09/25/17/12/0650949.jpg,300034
Jean-Christophe & Winnie,2018-10-24,Animation_Comédie_Drame_Famille,103,Marc Forster,The Walt Disney Company France,"Ewan McGregor,Hayley Atwell,Bronte Carmichael",U.S.A.,Anglais,Long-métrage,2018,20,"Le temps a passé. Jean-Christophe, le petit garçon qui adorait arpenter la Forêt des Rêves bleus en compagnie de ses adorables et intrépides animaux en peluche, est désormais adulte. Mais avec l'âge, il est devenu sérieux et a perdu toute son imagination. Pour lui rappeler l’enfant attachant et enjoué qu'il n’a jamais cessé d’être, ses célèbres amis vont prendre tous les risques, y compris celui de s'aventurer dans notre monde bien réel…",251837,https://fr.web.img6.acsta.net/c_310_420/pictures/18/07/11/14/12/4134938.jpg,228173
Halloween,2018-10-24,Epouvante-horreur_Thriller,109,David Gordon Green,Universal Pictures International France,"Jamie Lee Curtis,Judy Greer,Andi Matichak",U.S.A.,Anglais,Long-métrage,2018,32,"Laurie Strode est de retour pour un affrontement final avec Michael Myers, le personnage masqué qui la hante depuis qu’elle a échappé de justesse à sa folie meurtrière le soir d’Halloween 40 ans plus tôt.",238622,https://fr.web.img3.acsta.net/c_310_420/pictures/18/09/19/14/32/4251359.jpg,413854
Cold War,2018-10-24,Drame_Romance,88,Pawel Pawlikowski,Diaphana Distribution,"Joanna Kulig,Tomasz Kot,Borys Szyc",Pologne,Polonais,Long-métrage,2018,30,"Pendant la guerre froide, entre la Pologne stalinienne et le Paris bohème des années 1950, un musicien épris de liberté et une jeune chanteuse passionnée vivent un amour impossible dans une époque impossible.",252203,https://fr.web.img4.acsta.net/c_310_420/pictures/18/10/23/09/39/2642330.jpg,115723
Quién te cantará,2018-10-24,Drame,122,Carlos Vermut,Le Pacte,"Najwa Nimri,Eva Llorach,Carme Elias",Espagne,Espagnol,Long-métrage,2018,12,"Lila Cassen, ancienne star de la chanson des années 90, prépare son grand retour sur scène. Mais un accident la rend alors amnésique. Avec l'aide de Violeta, sa plus grande fan et imitatrice, Lila va apprendre à redevenir qui elle était.",253056,https://fr.web.img3.acsta.net/c_310_420/pictures/18/10/02/17/51/2649596.jpg,6660
Chacun pour tous,2018-10-31,Comédie,94,Vianney Lebasque,SND,"Ahmed Sylla,Jean-Pierre Darroussin,Olivier Barthelemy",France,Français,Long-métrage,2017,11,"Martin, coach de l’équipe française de basketteurs déficients mentaux, est au pied du mur. En pleine préparation des Jeux Paralympiques, ses meilleurs joueurs viennent de le laisser tomber. Refusant de perdre la subvention qui est vitale pour sa fédération, il décide de tricher pour participer coûte que coûte à la compétition. Il complète son effectif par des joueurs valides, dont Stan et Pippo, deux trentenaires désœuvrés. Même Julia, la psychologue de la fédération, ne s’aperçoit pas de la supercherie. En s’envolant pour Sydney, Martin est loin d’imaginer le mélange explosif qu’il vient de créer.",257498,https://fr.web.img3.acsta.net/c_310_420/pictures/18/09/19/17/25/5615607.jpg,170481
